"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 13 15:24:15 EEST 2023","Fri Oct 13 15:24:19 EEST 2023","4274","","Settings page","","","","should provide an ability to update password",""
"failed","Fri Oct 13 15:25:30 EEST 2023","Fri Oct 13 15:25:37 EEST 2023","6698","","User","","","","should be able to follow the another user",""
"passed","Fri Oct 13 15:24:55 EEST 2023","Fri Oct 13 15:24:58 EEST 2023","2203","","Sign Up page","","","","should not allow the user to register with an invalid password",""
"passed","Fri Oct 13 15:25:02 EEST 2023","Fri Oct 13 15:25:04 EEST 2023","1868","","Sign Up page","","","","should not allow the user to register without a password",""
"failed","Fri Oct 13 15:25:04 EEST 2023","Fri Oct 13 15:25:11 EEST 2023","7287","","Sign Up page","","","","should not allow the user to register with an existing username",""
"passed","Fri Oct 13 15:24:19 EEST 2023","Fri Oct 13 15:24:20 EEST 2023","1026","","Settings page","","","","should provide an ability to log out",""
"failed","Fri Oct 13 15:24:06 EEST 2023","Fri Oct 13 15:24:15 EEST 2023","8580","","Settings page","","","","should provide an ability to update an email",""
"passed","Fri Oct 13 15:24:34 EEST 2023","Fri Oct 13 15:24:36 EEST 2023","2253","","Sign In page","","","","should not allow the user to log in with wrong password",""
"passed","Fri Oct 13 15:23:47 EEST 2023","Fri Oct 13 15:23:50 EEST 2023","2749","","Article","","","","should be edited using Edit button",""
"passed","Fri Oct 13 15:24:31 EEST 2023","Fri Oct 13 15:24:32 EEST 2023","980","","Sign In page","","","","should redirect the user to the Sign Un page",""
"passed","Fri Oct 13 15:24:04 EEST 2023","Fri Oct 13 15:24:06 EEST 2023","2334","","Settings page","","","","should provide an ability to update bio",""
"passed","Fri Oct 13 15:24:53 EEST 2023","Fri Oct 13 15:24:55 EEST 2023","2351","","Sign Up page","","","","should not allow the user to register with an invalid email",""
"passed","Fri Oct 13 15:24:27 EEST 2023","Fri Oct 13 15:24:31 EEST 2023","3614","","Sign In page","","","","should allow the user to log in with existing credentials",""
"passed","Fri Oct 13 15:24:45 EEST 2023","Fri Oct 13 15:24:46 EEST 2023","545","","Sign Up page","","","","should redirect the user to the Sign In page",""
"passed","Fri Oct 13 15:24:02 EEST 2023","Fri Oct 13 15:24:04 EEST 2023","2060","","Settings page","","","","should provide an ability to update username",""
"passed","Fri Oct 13 15:23:50 EEST 2023","Fri Oct 13 15:23:52 EEST 2023","2129","","Article","","","","should be deleted using Delete button",""
"passed","Fri Oct 13 15:23:59 EEST 2023","Fri Oct 13 15:24:02 EEST 2023","3114","","Settings page","","","","should provide an ability to update user image",""
"passed","Fri Oct 13 15:24:42 EEST 2023","Fri Oct 13 15:24:45 EEST 2023","3440","","Sign Up page","","","","should allow the user to register with valid credentials",""
"passed","Fri Oct 13 15:24:32 EEST 2023","Fri Oct 13 15:24:34 EEST 2023","2152","","Sign In page","","","","should not allow the user to log in with wrong email",""
"passed","Fri Oct 13 15:23:43 EEST 2023","Fri Oct 13 15:23:47 EEST 2023","4374","","Article","","","","should be created using New Article form",""
"passed","Fri Oct 13 15:25:11 EEST 2023","Fri Oct 13 15:25:14 EEST 2023","3004","","Sign Up page","","","","should not allow the user to register with an existing email",""
"failed","Fri Oct 13 15:24:46 EEST 2023","Fri Oct 13 15:24:53 EEST 2023","6842","","Sign Up page","","","","should not allow the user to register with an invalid username",""
"passed","Fri Oct 13 15:25:00 EEST 2023","Fri Oct 13 15:25:02 EEST 2023","1726","","Sign Up page","","","","should not allow the user to register without an email",""
"passed","Fri Oct 13 15:24:58 EEST 2023","Fri Oct 13 15:25:00 EEST 2023","2373","","Sign Up page","","","","should not allow the user to register without a username",""
